doctor_id,nic,name,date_of_birth,gender,phone_number,email,address,year_experience,specialization,department_id,salary,joining_date,is_active
DOC001,42101-6510027-0,Dr. Ahmed Khan,3/15/1975,Male,0300-1234567,ahmed.khan@hospital.com,123 Main St  Karachi,20,Emergency,DPT001,150000,1/1/2005,TRUE
DOC002,42101-2653723-8,Dr. Fatima Ali,7/22/1980,Female,0301-2345678,fatima.ali@hospital.com,456 Elm St  Lahore,15,Cardiology,DPT002,140000,3/15/2010,TRUE
DOC003,42101-6967597-8,Dr. Usman Malik,11/10/1978,Male,0302-3456789,usman.malik@hospital.com,789 Oak St  Islamabad,18,Neurology,DPT003,145000,6/20/2007,TRUE
DOC004,42101-0516549-9,Dr. Sara Ahmed,4/5/1982,Female,0303-4567890,sara.ahmed@hospital.com,101 Pine St  Rawalpindi,12,Orthopedics,DPT004,135000,9/10/2012,TRUE
DOC005,42101-1930831-8,Dr. Bilal Hussain,9/18/1976,Male,0304-5678901,bilal.hussain@hospital.com,202 Maple St  Faisalabad,22,Pediatrics,DPT005,155000,2/25/2003,TRUE
DOC006,42101-5031286-5,Dr. Aisha Rahman,2/28/1985,Female,0305-6789012,aisha.rahman@hospital.com,303 Birch St  Multan,10,Gynecology,DPT006,130000,5/12/2015,TRUE
DOC007,42101-3422704-2,Dr. Omar Farooq,6/12/1979,Male,0306-7890123,omar.farooq@hospital.com,404 Cedar St  Peshawar,16,Surgery,DPT007,140000,8/1/2009,TRUE
DOC008,42101-3415441-1,Dr. Nadia Siddiqui,12/1/1983,Female,0307-8901234,nadia.siddiqui@hospital.com,505 Spruce St  Quetta,13,ENT,DPT008,132000,11/15/2012,TRUE
DOC009,42101-0119185-0,Dr. Imran Qureshi,8/25/1977,Male,0308-9012345,imran.qureshi@hospital.com,606 Walnut St  Hyderabad,19,Ophthalmology,DPT009,150000,4/20/2006,TRUE
DOC010,42101-5588747-5,Dr. Zainab Khan,3/10/1984,Female,0309-0123456,zainab.khan@hospital.com,707 Chestnut St  Sialkot,11,Dermatology,DPT010,128000,7/10/2014,TRUE
DOC011,42101-0591277-7,Dr. Hassan Javed,5/20/1981,Male,0310-1234567,hassan.javed@hospital.com,808 Birch St  Gujranwala,14,Psychiatry,DPT011,135000,10/5/2011,TRUE
DOC012,42101-6633042-3,Dr. Mariam Akhtar,9/15/1986,Female,0311-2345678,mariam.akhtar@hospital.com,909 Pine St  Lahore,9,Oncology,DPT012,130000,1/20/2016,TRUE
DOC013,42101-7890933-4,Dr. Faisal Rehman,11/30/1974,Male,0312-3456789,faisal.rehman@hospital.com,1010 Elm St  Karachi,21,Urology,DPT013,152000,3/15/2004,TRUE
DOC014,42101-9283729-4,Dr. Sana Iqbal,1/25/1987,Female,0313-4567890,sana.iqbal@hospital.com,1111 Oak St  Islamabad,8,Nephrology,DPT014,125000,6/10/2017,TRUE
DOC015,42101-2446194-1,Dr. Adnan Shah,7/12/1979,Male,0314-5678901,adnan.shah@hospital.com,1212 Maple St  Rawalpindi,17,Gastroenterology,DPT015,140000,9/25/2008,TRUE
DOC016,42101-6609149-9,Dr. Lubna Tariq,4/18/1983,Female,0315-6789012,lubna.tariq@hospital.com,1313 Cedar St  Faisalabad,12,Radiology,DPT016,130000,2/15/2013,TRUE
